Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
BAJAJHLDNG,113085.34,12.62,,40.88,-48.3,49.3
CIPLA,112242.03,11.74,,11.26,-2.1,-54.6
GAIL,112105.11,8.69,,2.75,-2.4,-40.3
ZYDUSLIFE,111158.66,18.32,,18.47,16.2,8.7
INDUSTOWER,111078.45,19.81,,32.42,4.8,0.8
GMRAIRPORT,109443.79,,,26.19,37.5,
TATACONSUM,108930.25,6.94,,11.15,17.9,21.5
DRREDDY,106203.0,11.83,,1.54,-11.6,-86.2
MARICO,106138.56,41.39,,13.83,22.1,14.5
GODREJCP,105731.87,15.1,,19.62,8.4,9.7
HDFCAMC,105272.95,32.93,,78.78,3.6,-2.8
AMBUJACEM,105132.62,8.3,,6.45,7.2,74.9
LUPIN,104857.14,26.91,,24.24,31.9,89.0
LGEINDIA,102576.08,24.72,,10.48,8.1,-8.2
JSWENERGY,102494.27,8.82,,33.27,41.0,-11.7
HEROMOTOCO,99298.13,28.03,,13.11,30.2,25.7
LLOYDSME,99116.79,36.95,,38.87,405.5,604.8
MAXHEALTH,98536.07,14.33,,22.56,12.2,7.3
MANKIND,98338.47,12.45,,20.56,11.8,31.7
MAZDOCK,97218.62,28.77,,13.51,21.3,109.0
INDHOTEL,96715.1,16.43,,30.92,14.3,14.7
ABCAPITAL,93888.56,11.18,,13.7,7.7,30.1
BHARATFORG,92993.02,11.6,,11.55,17.5,-17.9
UNITDSPR,92554.53,20.03,,16.93,0.8,28.0
RECLTD,91649.36,19.96,,90.23,-14.4,-21.9
LODHA,89832.44,15.71,,27.62,7.6,9.4
ASHOKLEY,89546.91,21.64,,17.36,17.4,24.5
SHREECEM,87225.21,,,18.6,5.2,3.4
WAAREEENER,87198.62,31.57,,15.05,111.8,71.2
LENSKART,85550.46,6.65,,9.97,45.6,-10.8
AUROPHARMA,84741.67,9.93,,14.94,5.6,1.9
ICICIGI,84633.68,17.85,,11.44,12.2,6.7
NTPCGREEN,82856.1,2.76,,50.06,46.7,-17.1
HINDPETRO,82751.02,30.93,,8.08,4.9,77.5
SRF,81304.17,13.76,,20.63,7.0,10.6
OFSS,81209.25,32.61,,50.4,20.3,30.6
IDBI,81062.36,14.15,,15.58,,
ATGL,80121.16,14.46,,15.39,16.1,8.5
NMDC,79943.99,23.36,,21.97,61.9,37.7
NYKAA,78325.59,14.34,,5.24,28.4,290.2
FEDERALBNK,77820.34,11.73,,43.17,12.3,22.2
MEESHO,76754.85,-46.56,,-7.75,47.1,
SAIL,76038.84,,,2.85,11.8,167.6
AUBANK,75995.83,,,35.55,37.1,62.6
SUZLON,75669.21,40.64,,16.42,44.9,-5.6
DABUR,75641.33,16.24,,11.18,7.3,15.2
LAURUSLABS,75327.01,17.74,,21.62,5.3,19.4
PERSISTENT,75162.75,26.35,,16.25,25.1,32.1
FORTIS,74767.28,11.01,,17.35,17.8,44.3
NHPC,74122.31,9.02,,19.67,19.2,70.6
BHARTIHEXA,73870.0,26.47,,32.32,5.4,-4.7
MCX,72612.87,37.88,,73.86,200.0,291.2
HAVELLS,72391.71,18.97,,9.38,2.5,39.6
YESBANK,72250.81,7.09,,54.69,19.8,11.8
POLICYBZR,71514.86,9.74,,8.9,36.7,52.8
INDUSINDBK,71473.74,1.36,,17.66,272.7,
BAJAJHFL,70452.15,12.06,,80.67,42.3,14.4
DIXON,70201.86,37.13,,2.89,2.1,-36.1
TORNTPOWER,70143.38,13.02,,11.37,-0.8,-70.0
NAM-INDIA,69569.54,34.48,,65.43,19.6,27.3
NATIONALUM,69213.47,29.42,,42.76,-4.8,-16.7
LTF,69139.45,11.12,,43.72,31.9,26.4
PAYTM,68765.8,3.56,,0.0,18.4,
OIL,67959.67,12.74,,27.78,5.2,60.4
ICICIPRULI,67867.93,12.58,,12.45,-83.1,61.4
BIOCON,67857.36,1.15,,11.22,2.3,-72.5
MAHABANK,67147.27,22.66,,46.81,9.4,36.3
GICRE,66535.62,10.69,,23.69,2.5,1.4
BANKINDIA,66323.26,12.06,,45.0,10.1,18.6
IDFCFIRSTB,65891.17,,,33.4,-1.1,-23.2
SWIGGY,65125.31,-29.12,,-15.81,44.7,
IOB,64259.24,15.65,,44.19,1.9,39.7
SCHAEFFLER,63392.07,,,15.0,18.9,25.5
ALKEM,63345.54,17.56,,11.42,14.6,-22.7
NAUKRI,62973.03,4.57,,34.9,15.9,22.1
PHOENIXLTD,62858.89,11.06,,53.54,33.7,50.0
GLENMARK,61344.81,14.07,,16.3,14.3,6575.0
APARINDS,61149.2,19.74,,6.87,26.7,1.2
UNOMINDA,61078.7,19.2,,7.7,17.8,22.3
TIINDIA,60813.4,,,7.28,20.7,-14.2
COFORGE,60522.05,18.6,,16.56,30.5,134.0
BERGEPAINT,60066.64,17.23,,13.27,6.1,27.7
PRESTIGE,59755.21,8.0,,19.83,166.5,901.7
LINDEINDIA,58982.57,13.58,,20.44,13.1,676.4
FACT,58388.54,,,2.44,40.9,-95.4
JSL,57227.43,17.41,,10.38,11.2,42.5
COLPAL,56545.81,81.59,,29.75,9.1,-0.5
COROMANDEL,56445.83,15.59,,5.38,20.4,-75.8
SBICARD,56092.61,14.69,,26.12,18.6,13.9
TATACOMM,56048.1,31.13,,8.44,9.4,-74.7
VMM,56008.95,12.15,,7.94,22.2,44.0
ABBOTINDIA,55843.17,34.46,,27.01,6.5,7.6
MFSL,54230.22,1.63,,4.6,-40.2,
MOTILALOFS,53488.66,15.55,,-9.2,152.3,
THERMAX,53241.14,13.69,,9.34,11.1,18.7
MRF,53232.71,12.29,,10.73,13.4,37.1
HDBFS,53102.14,13.94,,42.52,18.4,35.7
UPL,51570.78,5.61,,14.9,17.7,33.2
KEI,51332.74,14.75,,10.16,18.7,25.5
GODREJPROP,50949.36,9.97,,14.07,63.0,70.1
APLAPOLLO,50467.19,25.31,,7.21,13.6,20.8
HINDCOPPER,49318.23,30.6,,48.47,58.1,136.6
RVNL,48635.18,8.98,,3.87,4.2,-59.1
RADICO,47434.47,,,14.87,19.5,62.1
PREMIERENE,46691.14,42.33,,26.71,37.6,64.7
PATANJALI,46294.72,14.83,,3.44,14.7,45.9
SUNDARMFIN,45837.6,14.66,,60.7,10.0,0.2
PIRAMALFIN,45589.71,6.72,,-49.86,-24.7,
360ONE,44583.45,14.39,,57.66,26.9,11.0
ANTHEM,44302.37,21.71,,37.26,26.4,127.2
SUPREMEIND,44288.0,16.13,,14.88,16.5,47.5
BDL,43994.83,10.19,,7.37,-73.0,-58.4
NLCINDIA,43859.32,15.97,,28.3,-0.3,-12.7
MPHASIS,43323.1,18.29,,15.38,14.4,14.0
PIIND,43109.51,12.35,,14.71,-12.4,-39.4
PAGEIND,43081.84,52.5,,18.56,14.1,9.0
VOLTAS,42531.92,5.72,,5.69,2.5,-51.8
ASTERDM,42127.98,10.07,,13.98,18.2,71.5
IRCTC,41708.0,34.96,,26.36,15.1,-8.9
PETRONET,41212.5,18.56,,17.54,-23.3,25.3
HUDCO,41175.08,20.2,,51.51,6.0,172.2
ASTRAL,40528.56,13.8,,14.79,24.2,18.9
M&MFIN,40442.71,11.86,,44.45,40.3,82.6
AIAENG,40442.25,16.95,,26.36,9.4,38.0
IPCALAB,40161.38,13.22,,15.77,6.2,341.6
FLUOROCHEM,40153.47,7.55,,13.81,11.7,-43.0
CPPLUS,39785.15,25.42,,16.46,45.5,187.4
ATHERENERG,39411.65,-33.74,,-10.33,73.7,
AJANTPHARM,39117.34,25.39,,23.19,21.5,18.6
BALKRISIND,38916.68,,,16.36,6.9,-15.0
NH,38465.08,19.84,,13.73,75.8,13.5
JKCEMENT,37540.78,15.03,,12.87,8.5,-7.6
COCHINSHIP,37470.6,12.52,,18.71,-15.6,-3.8
NAVINFLUOR,37454.14,20.11,,29.85,33.8,116.5
GLAND,37317.18,10.53,,23.2,22.3,96.4
WELCORP,36979.21,18.92,,9.52,9.9,-47.0
SONACOMS,36889.39,10.69,,17.62,45.4,17.1
KPRMILL,36506.06,16.2,,16.47,0.9,11.2
GUJGASLTD,36403.36,12.27,,10.34,21.1,32.6
JBCHEPHARM,36249.34,18.69,,16.48,-4.8,-31.0
GLAXO,35939.49,49.11,,34.42,2.1,5.7
GODFRYPHLP,35891.4,26.59,,29.1,13.6,86.1
UBL,35781.95,9.29,,2.81,-3.1,4.3
KALYANKJIL,35603.72,24.31,,6.06,66.9,117.0
LTTS,35544.65,19.54,,15.22,-4.2,6.7
3MINDIA,35541.3,28.9,,17.22,16.8,201.8
ENDURANCE,35202.29,15.16,,8.71,37.9,12.7
GODREJIND,34956.97,10.83,,19.41,51.6,142.6
HSCL,34334.05,17.7,,20.31,13.5,27.8
POONAWALLA,34316.72,5.85,,35.47,67.4,287.7
IREDA,34309.14,,,89.98,4.6,-5.9
CONCOR,34288.04,9.76,,12.12,-1.1,-12.0
TATAINVEST,33691.41,1.44,,73.11,153.8,68.9
EXIDEIND,33315.75,6.17,,7.39,9.2,15.0
MEDANTA,33188.97,15.03,,15.29,24.5,42.0
AEGISLOG,33148.44,15.26,,22.03,52.2,45.8
DELHIVERY,32986.76,1.6,,1.09,30.0,-0.6
BANDHANBNK,32962.66,4.88,,26.45,119.3,68.0
EMCURE,32928.69,19.57,,15.35,16.7,28.8
UCOBANK,32590.31,8.63,,41.61,-12.6,14.9
BLUESTARCO,32561.76,16.22,,6.83,1.3,17.1
ITCHOTELS,32088.25,,,28.76,-64.8,-49.8
HONAUT,31992.05,12.35,,14.41,5.9,14.1
ABSLAMC,31843.96,25.1,,51.86,-14.5,-18.1
WOCKPHARMA,31490.99,4.0,,14.82,26.0,
