Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
ALIVUS,12834.86,18.36,,28.2,6.1,14.5
SHADOWFAX,12732.1,9.29,,3.7,73.6,
IRCON,12729.88,9.08,,6.99,-6.5,-8.8
JPPOWER,12603.51,3.6,,0.32,3.4,
GRAPHITE,12590.98,2.92,,6.13,22.5,
HAPPYFORGE,12566.54,15.16,,25.68,20.4,23.0
TRIDENT,12326.22,8.03,,10.57,-12.4,-18.6
INDGN,12264.58,13.94,,12.14,32.8,-32.3
SEDEMAC,12235.83,27.53,,14.81,59.9,253.2
SOUTHBANK,12213.81,13.53,,43.14,11.2,18.3
TMB,12146.35,13.99,,54.29,23.5,28.0
INDIAMART,12126.36,20.7,,31.07,13.9,-72.3
TECHNOE,12080.04,11.36,,12.77,23.8,-14.9
ELECON,12046.91,15.85,,17.55,-6.5,-95.9
PRUDENT,12045.62,28.64,,22.25,22.0,14.3
AEQUS,11953.05,-10.29,,-3.38,48.3,
ABLBL,11944.75,12.72,,6.53,11.9,45.2
UTIAMC,11869.88,9.78,,38.3,6.7,
PARKHOSPS,11860.82,16.94,,23.86,30.1,30.9
SKFINDUS,11800.35,29.48,,9.34,,
JWL,11778.33,5.77,,8.39,-25.3,-72.5
GRAVITA,11675.03,16.68,,9.41,13.1,-3.2
HOMEFIRST,11587.58,15.71,,66.92,30.6,24.0
TITAGARH,11563.76,4.92,,9.48,-12.9,-18.8
JMFINANCIL,11537.85,11.13,,33.55,-0.0,-21.0
CANFINHOME,11481.92,19.66,,80.42,24.3,47.8
MARKSANS,11436.49,15.16,,19.99,20.8,63.5
PCBL,11420.25,5.12,,7.22,-1.0,-61.3
BALRAMCHIN,11407.37,9.54,,14.97,6.7,-30.7
BLUEDART,11291.17,14.83,,13.49,8.0,189.1
AVALON,11267.08,16.94,,10.12,40.0,69.0
CARTRADE,11262.84,9.85,,29.9,19.8,57.3
JAINREC,11260.15,28.67,,3.4,76.4,13.0
AAVAS,11145.48,13.92,,53.08,19.2,18.3
LUMAXTECH,11136.97,,,10.1,40.3,83.9
NUVOCO,11091.48,3.74,,10.88,8.7,-14.9
ACE,11081.36,22.89,,15.82,7.1,-6.5
RPOWER,11005.29,-2.08,,19.66,-4.6,
METROPOLIS,11003.11,13.37,,16.35,23.0,73.0
VIYASH,10909.4,11.56,,13.91,129.0,228.4
SIGNATURE,10909.25,84.88,,4.33,112.8,1789.7
JKTYRE,10904.55,14.05,,9.81,12.4,76.6
GODREJAGRO,10867.38,18.68,,3.48,8.3,48.2
ZEEL,10815.45,2.33,,-15.6,-7.3,
MGL,10815.18,13.63,,7.49,4.5,-47.4
BLS,10786.0,30.14,,21.95,17.6,31.4
RKFORGE,10765.25,2.27,,9.84,28.5,24.4
TI,10749.46,1.08,,12.22,134.0,
IEX,10746.3,39.42,,84.19,12.5,9.8
FINPIPE,10698.07,9.73,,23.28,12.1,59.0
SHILPAMED,10693.44,9.82,,20.39,31.5,644.6
IIFLCAPS,10659.11,20.2,,26.11,12.0,-11.1
UJJIVANSFB,10652.22,10.74,,29.52,44.4,234.0
SANOFICONR,10648.18,,,37.35,32.8,35.7
OLECTRA,10637.66,,,13.75,43.3,164.1
TEJASNET,10629.15,-26.82,,-65.82,-82.6,
BBTC,10596.96,28.71,,16.92,7.8,43.8
MEDPLUS,10590.97,11.82,,5.0,23.5,24.1
NAZARA,10589.74,1.97,,8.07,-23.6,
SANDUMA,10492.57,22.32,,22.02,14.3,50.9
PGHL,10436.03,61.59,,34.94,19.1,54.6
KIRLPNU,10432.29,21.47,,24.95,20.3,79.7
KTKBANK,10426.47,10.36,,45.57,-1.7,61.5
EDELWEISS,10405.22,11.47,,6.52,-6.8,-18.2
INTELLECT,10333.47,11.41,,14.72,16.7,-11.3
ZENSARTECH,10265.63,,,14.68,6.7,19.2
LLOYDSENT,10217.21,9.87,,5.31,47.1,482.5
MMTC,10209.0,20.27,,,,8300.0
HEG,10156.41,7.34,,-1.13,11.2,
LLOYDSENGG,10110.89,16.82,,10.97,113.4,112.5
SBFC,10024.66,13.04,,60.86,24.4,29.0
WAAREERTL,9956.15,,,18.57,131.2,66.7
BLACKBUCK,9948.72,12.06,,14.94,52.5,-85.8
SWANCORP,9922.48,2.99,,-33.72,1.6,
RAILTEL,9908.97,16.25,,10.98,27.6,25.3
RITES,9903.32,16.4,,19.74,24.8,-2.2
MANYAVAR,9898.89,20.03,,33.79,8.7,13.1
BANCOINDIA,9863.14,32.25,,15.06,25.6,-3.9
VOLTAMP,9833.33,18.07,,12.55,-1.8,-50.5
WABAG,9832.17,15.67,,11.02,22.3,20.6
JUBLINGREA,9832.05,9.18,,9.69,12.1,16.1
WHIRLPOOL,9772.23,7.25,,3.14,8.8,-32.8
STAR,9728.83,20.03,,14.09,11.2,54.4
CYIENT,9699.14,7.77,,9.53,0.9,-67.9
AKUMS,9536.73,8.02,,9.64,9.4,-42.6
NCC,9523.81,9.32,,7.8,1.7,-18.8
TARIL,9458.23,19.33,,14.24,15.7,-4.1
HCG,9413.5,1.9,,9.55,11.5,-71.2
ALKYLAMINE,9368.57,,,13.98,-4.6,-3.5
MANORAMA,9340.8,37.98,,23.01,68.1,31.5
PVRINOX,9265.17,2.44,,7.84,23.8,
RATEGAIN,9247.65,10.54,,15.66,174.5,27.1
AMAGI,9214.96,6.33,,4.47,28.5,
VESUVIUS,9179.92,,,13.26,3.7,-5.9
TTML,9078.68,,,43.43,-4.1,
BLUEJET,8890.1,19.88,,27.62,-31.1,-41.5
WEWORK,8860.77,29.99,,26.3,29.1,73.7
PARAS,8841.64,13.14,,22.3,57.9,74.6
STARCEMENT,8834.17,12.87,,18.44,11.9,20.2
BSOFT,8831.77,13.66,,17.04,2.4,43.7
JAYNECOIND,8822.49,17.75,,15.24,17.8,87.7
POWERMECH,8819.36,17.26,,9.74,13.9,21.6
ESABINDIA,8817.12,52.29,,14.74,7.6,-8.2
SAREGAMA,8750.47,12.57,,35.89,23.2,24.1
VARROC,8714.91,13.46,,6.12,12.8,236.3
TSFINV,8699.67,9.06,,17.82,499.1,50.6
KWIL,8669.99,,,-45.81,,
PCJEWELLER,8661.8,9.95,,8.43,32.7,63.8
EQUITASBNK,8639.67,1.69,,32.36,17.9,402.7
INDIASHLTR,8631.01,17.04,,63.12,28.1,27.3
JLHL,8626.52,13.39,,16.99,17.1,12.0
BATAINDIA,8599.78,8.47,,5.53,5.0,-95.2
RELAXO,8529.88,8.33,,11.31,8.0,20.5
TRIVENI,8504.91,8.27,,15.97,-7.4,-11.1
LEMONTREE,8490.98,14.9,,43.91,9.4,8.7
EUREKAFORB,8479.78,3.61,,9.58,11.6,2.8
SUDEEPPHRM,8465.5,25.06,,32.2,15.7,7.6
ASKAUTOLTD,8464.32,25.26,,8.93,35.0,24.3
THYROCARE,8418.06,28.75,,27.4,19.7,116.3
KRBL,8395.68,11.73,,13.52,5.8,0.7
TIMETECHNO,8366.13,13.37,,11.83,14.4,10.6
CELLO,8333.99,12.98,,17.67,9.9,-0.7
SHARDACROP,8330.51,24.16,,21.33,12.9,56.5
AXISCADES,8283.34,10.37,,7.25,1.5,-98.6
ORKLAINDIA,8280.31,10.97,,13.65,5.0,107.7
MAHSEAMLES,8269.09,10.61,,16.13,-12.8,-50.2
EMBDL,8209.54,-9.05,,-79.93,-73.0,
TIPSMUSIC,8184.42,92.33,,73.42,32.4,93.5
RELIGARE,8183.47,2.0,,5.54,22.1,-16.9
CLEAN,8179.5,15.31,,30.07,-5.5,-21.4
MIDHANI,8151.16,8.92,,17.97,34.6,38.7
V2RETAIL,8148.92,25.96,,5.31,59.8,168.8
YATHARTH,8091.36,9.89,,14.61,44.2,12.9
E2E,7936.28,-0.95,,7.06,185.7,-59.6
KPIGREEN,7934.55,17.25,,31.7,39.8,47.2
BLUESTONE,7932.51,0.97,,10.27,47.7,
CERA,7921.44,14.38,,13.67,10.9,-9.7
SHREEJISPG,7870.58,29.87,,27.37,20.5,-26.2
SUPRIYA,7864.38,19.06,,32.23,50.2,46.7
SKFINDIA,7857.18,13.54,,2.9,-51.0,
IXIGO,7817.96,5.33,,6.55,8.4,67.4
BAJAJCON,7728.03,25.31,,22.03,30.4,113.0
SFL,7683.0,5.06,,7.72,23.6,322.2
NESCO,7678.73,14.67,,45.83,30.8,5.0
BORORENEW,7639.82,10.15,,26.12,17.0,
INOXGREEN,7624.33,5.6,,39.77,74.7,316.5
JSLL,7609.69,59.92,,28.55,54.8,77.5
VIKRAMSOLR,7604.37,21.34,,12.21,21.7,6.3
RHIM,7595.12,-10.13,,3.88,1.6,
ELANTAS,7566.97,,,16.93,7.8,-5.4
IMFA,7547.64,16.71,,18.52,34.6,118.2
PGIL,7532.17,20.9,,8.5,6.9,20.3
SAFARI,7521.31,16.22,,9.28,12.4,-0.3
NEPHROPLUS,7506.99,9.04,,10.51,21.2,0.3
WELENT,7489.27,13.6,,18.88,17.4,53.1
SGMART,7470.74,7.92,,2.87,17.5,14.7
GPPL,7442.03,21.8,,60.8,24.0,25.0
PNGJL,7430.71,23.31,,3.34,123.2,45.5
GNFC,7403.61,9.14,,18.25,7.4,87.1
REDTAPE,7400.43,26.58,,13.17,35.5,69.0
JYOTHYLAB,7379.54,18.32,,11.28,4.2,-11.6
TTKPRESTIG,7355.64,,,5.97,12.3,
BIRLACORPN,7323.98,7.75,,13.25,0.8,14.9
JKLAKSHMI,7310.24,11.1,,10.64,0.2,-27.0
ABFRL,7288.5,-12.69,,-7.63,15.7,
CAMPUS,7285.34,18.05,,12.86,12.3,25.2
SPARC,7261.5,276.89,,95.55,6716.8,
GAEL,7239.2,9.66,,10.99,15.8,321.4
EPL,7199.89,15.08,,12.4,17.7,-9.9
SANOFI,7187.63,,,28.33,-11.9,-14.1
TCI,7165.19,19.18,,8.05,11.2,9.0
PRECWIRE,7161.5,23.03,,4.46,66.7,81.9
SUVEN,7074.3,-78.8,,,3.6,
MAXESTATES,7058.58,0.54,,14.2,-8.7,
KIRLFER,7054.25,10.01,,4.54,29.9,44.0
SONATSOFTW,7031.96,25.72,,7.23,-3.1,21.8
RCF,7025.75,8.67,,4.37,49.6,158.9
SUDARSCHEM,7022.58,1.03,,5.46,106.5,
MAHLIFE,7007.24,10.8,,-7.39,7147.0,-19.5
DBL,6993.25,22.89,,14.11,-25.7,-72.2
AVL,6933.42,18.38,,6.38,28.4,36.9
KINGFA,6922.05,17.41,,14.75,23.2,26.2
WESTLIFE,6920.29,5.29,,4.54,7.9,50.0
BALAMINES,6911.13,8.11,,20.34,11.9,61.7
DYNAMATECH,6907.58,4.29,,6.75,13.8,-21.9
GOKULAGRO,6877.59,30.1,,2.91,13.5,145.0
ICIL,6821.98,5.47,,4.13,3.4,120.0
TANLA,6789.76,21.41,,13.5,15.0,16.4
SJS,6769.73,21.88,,23.37,29.7,42.9
GARFIBRES,6761.66,15.31,,20.44,-1.4,-19.4
ACI,6703.79,5.55,,6.94,-12.9,-74.1
ISGEC,6691.19,5.37,,4.31,17.4,4.1
SHAKTIPUMP,6628.32,17.97,,8.67,28.6,-66.2
RAIN,6621.64,,,9.61,20.0,
INDIAGLYCO,6613.2,11.28,,12.83,13.1,31.9
ASHAPURMIN,6610.88,29.05,,8.9,254.6,27.6
NEWGEN,6553.33,18.25,,31.54,5.3,-0.9
LOTUSDEV,6550.85,17.06,,39.3,61.8,-1.3
GSFC,6548.58,5.51,,1.13,37.0,-27.7
DODLA,6544.36,17.34,,2.96,18.1,2.6
CEIGALL,6533.55,15.48,,14.95,37.1,78.8
KALPATARU,6468.79,2.45,,12.03,183.8,1003.8
GREENLAM,6439.67,4.86,,8.52,25.8,2550.0
TRANSRAILL,6418.78,19.39,,10.39,-5.7,-27.8
HNDFDS,6417.99,14.5,,6.89,19.6,30.9
JKPAPER,6406.9,4.78,,8.99,22.4,59.1
ETHOSLTD,6399.9,7.27,,6.44,33.0,-11.4
GANESHHOU,6360.35,,,73.62,-62.2,-62.8
KOVAI,6358.55,20.33,,19.8,15.9,15.8
SUNFLAG,6351.84,2.29,,9.56,13.3,-20.8
FDC,6314.59,11.81,,15.73,18.9,166.8
SUPRAJIT,6313.99,13.45,,7.69,18.8,162.0
AJAXENGG,6272.92,17.66,,14.89,0.3,4.5
GVPIL,6249.13,71.7,,32.78,18.8,-31.1
LATENTVIEW,6233.61,12.17,,24.03,26.1,-1.1
CSBBANK,6208.81,13.48,,36.22,7.9,5.8
SKIPPER,6149.32,15.88,,9.11,29.4,62.3
HCC,6121.7,10.91,,16.69,-27.8,-46.0
KENNAMET,6110.61,,,16.07,39.2,110.4
PRAJIND,6104.43,1.77,,-0.45,-1.8,-70.9
FIEMIND,6076.42,22.69,,12.34,17.4,20.7
SAATVIKGL,6055.28,42.05,,5.8,74.9,-38.0
GALAXYSURF,6041.84,10.47,,6.72,14.8,-18.0
ALOKINDS,6037.73,,,-5.87,3.1,
ARVINDFASN,6017.15,15.9,,8.35,14.8,
SIS,5950.88,5.56,,3.04,31.0,
SENORES,5940.91,13.79,,21.8,53.4,108.9
MOIL,5939.73,10.01,,20.46,2.6,-19.9
PRSMJOHNSN,5934.07,,,0.35,-0.8,26.0
AEROFLEX,5929.74,14.06,,17.67,37.2,56.4
UNIMECH,5897.11,9.0,,34.33,19.6,-16.8
TVSSCS,5835.05,6.0,,2.75,21.3,
OMNI,5814.16,17.96,,32.55,38.5,35.9
AARTIPHARM,5812.52,8.49,,17.5,3.3,-30.8
POWERICA,5805.57,17.89,,6.09,10.9,12.7
DCBBANK,5792.88,11.97,,34.23,12.4,13.4
PICCADIL,5726.39,17.37,,18.26,40.9,2.3
VMART,5725.47,14.08,,2.69,24.5,-35.8
SURYAROSNI,5723.42,11.21,,5.62,0.8,-24.6
FEDFINA,5722.16,12.55,,38.53,18.6,38.5
TIIL,5687.24,15.11,,14.98,1.3,15.4
SMLMAH,5620.5,35.42,,8.58,16.4,2.3
PTC,5600.48,10.38,,4.68,28.9,-70.0
NIRLON,5587.32,83.82,,69.12,8.2,31.9
BECTORFOOD,5576.48,11.56,,8.15,8.9,2.7
NEOGEN,5568.61,3.58,,14.73,21.6,375.9
KSHINTL,5555.63,19.9,,4.78,100.5,56.7
RPEL,5460.35,25.01,,28.08,39.3,50.0
MASFIN,5450.86,13.22,,55.19,-4.6,25.1
SAPPHIRE,5445.75,-2.3,,2.96,11.4,
PAISALO,5393.46,,,63.89,20.0,4.3
INNOVACAP,5393.16,13.75,,9.55,42.3,28.6
STYLAMIND,5392.71,20.47,,17.44,6.7,27.6
AHLUCONT,5346.28,13.79,,7.17,8.8,-1.6
CENTUM,5281.4,28.0,,13.96,-7.7,-95.9
HAPPSTMNDS,5258.42,13.03,,13.58,10.9,79.9
IFBIND,5218.01,15.63,,3.24,12.3,126.0
THOMASCOOK,5187.37,9.26,,2.1,-10.3,-40.3
BALUFORGE,5160.84,19.56,,21.52,-2.3,12.4
SMARTWORKS,5100.09,3.27,,20.07,45.0,
JSFB,5053.74,7.6,,17.34,17.6,12.9
RTNINDIA,5026.43,,,1.74,55.3,
ITDC,5018.37,21.7,,20.18,-22.2,11.9
CRAMC,4988.43,30.29,,56.52,2.9,-1.0
TIMEX,4984.41,77.26,,16.8,73.7,694.6
ICRA,4966.63,16.28,,34.39,4.1,32.3
LUMAXIND,4965.05,20.39,,6.61,29.9,23.0
RTNPOWER,4961.98,1.14,,8.39,-15.9,-64.7
PURVA,4960.7,3.23,,19.36,169.2,
ENTERO,4947.1,8.28,,3.73,42.6,9.1
GOKEX,4942.31,4.72,,6.62,5.3,-34.6
MBAPL,4936.03,,,9.82,115.8,77.5
EBGNG,4931.0,26.77,,9.22,43.0,143.4
RUSTOMJEE,4904.31,3.34,,4.74,172.9,-19.1
RBA,4898.32,-25.79,,-0.8,11.7,
MASTEK,4890.06,14.81,,14.1,3.6,30.8
CARERATING,4887.82,19.75,,43.56,19.2,23.5
CMSINFO,4885.62,12.91,,16.09,2.2,-18.1
DHANUKA,4873.87,18.62,,22.46,9.3,29.6
JAMNAAUTO,4869.4,21.58,,14.29,31.7,72.7
NETWORK18,4866.68,3.17,,-0.21,9.7,
SWSOLAR,4865.56,-35.95,,7.34,-22.8,143.0
LGBBROSLTD,4862.36,15.69,,10.31,21.8,-17.0
RAYMONDLSL,4840.49,0.48,,1.14,17.1,
EPIGRAL,4811.55,16.09,,17.24,17.3,-6.8
BANSALWIRE,4756.95,11.92,,5.41,20.9,20.9
MHRIL,4748.88,8.52,,10.8,5.3,-43.1
PILANIINVS,4747.78,0.19,,93.09,-14.1,
INDIGOPNTS,4744.68,13.51,,18.87,9.7,1.3
RENUKA,4744.4,,,6.0,-6.1,
SUBROS,4707.09,14.86,,5.84,15.6,6.9
KMEW,4699.62,19.96,,16.12,42.4,113.3
CCAVENUE,4699.38,6.69,,2.84,114.5,47.3
NORTHARC,4677.54,11.0,,42.92,,249.9
RESPONIND,4658.45,10.22,,6.68,13.0,-57.6
GUJALKALI,4653.7,,,29.21,395.7,519.1
ORCHPHARMA,4651.45,,,-12.26,-1.5,
GULFOILLUB,4651.36,22.14,,11.14,12.2,-2.7
BLISSGVS,4643.67,,,13.92,29.8,124.7
SHILCTECH,4615.66,37.76,,20.38,-36.0,-48.7
MAPMYINDIA,4611.98,15.8,,39.2,1.0,4.5
DATAMATICS,4600.84,13.48,,16.94,4.4,-1.5
SYMPHONY,4599.95,-21.6,,13.02,-30.7,
JUSTDIAL,4577.34,10.23,,25.35,6.2,-36.5
FCL,4561.35,14.9,,12.52,161.9,115.9
KISSHT,4558.31,23.97,,20.09,70.9,49.2
OSWALPUMPS,4539.68,35.08,,22.3,39.8,34.9
BANARISUG,4533.85,8.01,,5.42,-42.8,18.2
STYL,4527.33,23.24,,26.89,9.6,18.5
REFEX,4521.83,17.82,,16.51,48.8,87.5
SWARAJENG,4510.83,43.23,,12.75,20.2,20.1
MIDWESTLTD,4507.81,13.22,,23.14,-6.2,-28.5
WEBELSOLAR,4499.24,66.69,,30.51,132.1,144.3
SHARDAMOTR,4491.58,29.09,,9.83,29.6,6.6
KSCL,4485.73,18.16,,-30.48,18.7,
VIPIND,4473.92,-74.64,,-25.89,-11.7,
BAJAJHIND,4465.65,3.14,,19.17,7.4,23.0
RALLIS,4448.87,9.32,,-6.19,6.0,
ELECTCAST,4442.89,2.76,,1.17,-12.4,-90.5
AVANTEL,4424.88,5.21,,12.57,29.6,-31.0
VSTIND,4403.9,21.11,,31.74,30.9,119.5
GOODLUCK,4364.88,12.7,,9.32,-1.5,37.8
JUNIPER,4344.36,5.06,,35.53,8.6,-8.4
PDSL,4334.88,9.94,,2.44,-0.3,22.4
VADILALIND,4319.38,20.06,,17.14,57.0,149.3
GREAVESCOT,4310.53,,,3.94,16.6,22.5
TEXRAIL,4307.07,7.39,,7.97,-13.3,43.2
TRUALT,4298.35,8.25,,16.09,-34.3,-55.8
SANDHAR,4295.88,16.07,,6.04,28.9,49.8
AURIONPRO,4291.47,13.25,,16.35,5.7,20.5
LXCHEM,4265.73,4.08,,4.68,3.6,-2.5
IONEXCHANG,4248.48,11.23,,0.03,3.4,-61.9
GUJTHEM,4227.87,17.41,,34.64,17.2,-9.1
AGI,4177.83,15.61,,21.18,5.3,19.4
KRISHANA,4164.71,38.15,,10.9,59.8,153.1
ADVENZYMES,4131.36,11.02,,26.08,21.6,62.0
NRBBEARING,4127.45,15.17,,13.63,13.0,
SHOPERSTOP,4125.82,-11.79,,3.3,13.7,
MANINDS,4095.15,9.23,,10.11,-5.0,-20.6
UNIVCABLES,4082.26,8.91,,6.89,24.7,11.3
MOSCHIP,4075.42,9.56,,3.88,13.7,-9.8
EMIL,4059.1,6.79,,4.6,11.3,25.6
PACEDIGITK,4048.72,17.75,,14.58,60.5,57.0
SEAMECLTD,4040.14,21.95,,33.63,63.8,140.7
CAPILLARY,4037.57,6.58,,9.71,25.8,306.0
SGFIN,4031.13,10.32,,94.4,97.0,106.0
VRLLOG,4021.63,21.27,,13.36,5.7,-2.9
SBCL,4006.37,21.61,,19.56,22.8,24.0
MSTCLTD,4002.59,26.6,,61.68,33.7,2.3
HEMIPROP,4002.3,-2.7,,,7.0,
WHEELS,3994.06,,,4.89,2.5,-9.8
VISHNU,3971.26,14.22,,14.78,14.7,11.5
GHCL,3945.69,13.42,,18.74,1.2,-21.8
IOLCP,3940.31,7.9,,11.65,17.4,69.7
INDOSTAR,3917.63,3.52,,140.18,,
SOTL,3910.34,10.46,,4.68,21.7,62.2
VSTTILLERS,3891.23,9.99,,12.35,9.0,-79.2
ELLEN,3887.71,14.2,,24.1,6.0,16.5
HIRECT,3885.78,21.11,,1.63,51.2,-54.9
RAYMOND,3864.64,1.47,,6.43,,-99.1
NACLIND,3859.39,0.82,,1.22,79.2,
POCL,3855.41,19.09,,5.66,78.6,119.3
VAIBHAVGBL,3853.14,17.75,,5.94,10.0,167.8
EMUDHRA,3842.92,13.26,,17.39,31.7,21.7
LUXIND,3808.58,6.0,,6.45,6.8,-8.7
ANUP,3808.18,16.95,,14.77,-6.4,-11.3
WAKEFIT,3802.36,22.9,,3.6,13.5,
ROLEXRINGS,3797.14,12.35,,15.33,7.7,
SINDHUTRAD,3770.02,2.61,,1.65,-61.1,
ROSSTECH,3766.62,15.18,,8.78,64.6,10.6
STYRENIX,3753.29,14.43,,11.62,-10.8,30.9
ORIENTELEC,3752.47,13.18,,6.09,10.0,29.5
FOSECOIND,3737.18,,,14.44,1.2,-1.1
PREMEXPLN,3725.36,17.04,,-3.6,20.4,74.5
GUFICBIO,3722.99,10.14,,15.71,22.8,183.1
ZOTA,3716.36,-16.05,,-11.22,67.7,
TARC,3698.44,1.81,,-44.64,1638.9,
NFL,3681.3,7.61,,5.09,-2.5,12.4
RPTECH,3679.84,14.94,,2.82,51.0,60.6
RPGLIFE,3666.2,20.28,,15.31,23.6,-74.5
PITTIENG,3665.52,12.5,,11.87,6.9,-25.0
HARSHA,3664.53,11.69,,12.8,27.1,
AYE,3664.06,9.24,,33.49,8.5,79.1
QUESS,3644.68,19.71,,1.95,,
SSWL,3643.59,11.36,,7.67,19.5,-0.0
PSPPROJECT,3635.95,,,3.0,65.7,221.1
GREENPLY,3634.4,10.54,,9.85,19.6,86.1
SAMHI,3631.68,33.37,,21.3,8.1,439.6
ASHIANA,3618.39,14.52,,8.75,52.4,6.8
DBCORP,3612.15,14.27,,13.68,4.7,19.1
CRIZAC,3603.94,40.0,,21.66,15.0,50.5
SMSPHARMA,3591.09,14.31,,12.51,-4.1,49.2
BAJAJELEC,3588.14,,,-2.1,-18.5,
CYIENTDLM,3569.02,7.47,,8.72,-13.8,-27.5
RAMRAT,3539.8,20.25,,4.6,85.1,59.7
GOPAL,3531.19,16.67,,4.99,29.0,
KDDL,3529.03,8.12,,9.11,37.0,25.7
KSL,3524.98,,,13.82,-10.2,-10.2
INDRAMEDCO,3524.83,27.47,,13.48,9.3,1.8
KNRCON,3520.21,9.19,,22.31,-32.6,-23.6
BHAGCHEM,3501.58,2.63,,7.07,28.9,
JTEKTINDIA,3477.17,7.45,,5.33,20.2,2.1
JKIL,3472.29,12.14,,9.96,-2.9,-3.4
YASHO,3466.15,5.85,,12.31,34.7,132.0
TFCILTD,3457.51,9.75,,82.24,20.4,5.9
ASHOKA,3454.58,47.99,,11.39,-27.5,-66.9
MAYURUNIQ,3446.66,18.37,,28.68,9.1,43.4
SANATHAN,3438.2,4.2,,5.32,59.7,-50.4
NPST,3437.26,17.2,,15.81,135.2,90.4
GMMPFAUDLR,3417.2,4.58,,3.49,17.0,
ARSSBL,3405.67,13.96,,25.22,28.2,88.2
AARTIDRUGS,3392.51,13.36,,10.9,6.4,-12.0
SHANTIGEAR,3386.17,18.19,,14.2,-11.8,-27.6
HEIDELBERG,3377.49,9.68,,9.38,5.5,-10.3
SANGHVIMOV,3358.72,15.03,,28.04,31.4,27.8
CARYSIL,3353.1,17.28,,14.53,14.5,48.5
MAHLOG,3350.74,1.28,,2.53,20.1,28.9
KERNEX,3349.23,43.61,,40.45,206.5,109.8
SETL,3320.69,11.0,,13.58,38.8,30.3
KIRLOSIND,3293.05,4.33,,10.56,2.9,-6.2
JINDALPOLY,3292.52,,,-33.23,-72.9,
GRAUWEIL,3292.22,16.23,,14.96,4.2,91.1
ROUTE,3288.13,9.72,,9.96,-3.8,93.2
PANACEABIO,3283.04,,,1.99,1.0,-12.2
WSTCSTPAPR,3265.13,3.77,,7.38,18.8,17.9
MARINE,3237.7,12.89,,9.97,10.7,37.9
INDIQUBE,3228.94,-41.57,,23.74,35.2,
SASKEN,3220.44,6.99,,6.84,125.7,144.4
NOVARTIND,3213.75,11.63,,22.31,8.0,-13.8
CHEMPLASTS,3208.68,-14.64,,11.13,9.1,
SAMBHV,3195.42,18.36,,11.71,38.4,162.3
DEEPINDS,3170.56,9.79,,26.65,48.7,
UNICHEMLAB,3151.36,9.78,,2.97,-2.1,-79.3
MUTHOOTMF,3147.3,6.21,,31.85,,
NITINSPIN,3144.67,12.76,,10.89,2.2,23.7
NAVNETEDUL,3141.01,18.58,,6.98,-0.9,-19.2
BBL,3140.69,6.05,,6.39,23.9,-21.9
KOLTEPATIL,3113.56,-3.73,,-3.86,-65.4,
ADFFOODS,3111.34,16.89,,14.53,23.7,57.7
MPSLTD,3080.89,32.23,,28.83,12.7,-0.1
INDOTHAI,3076.29,28.29,,84.3,1879.7,
PRINCEPIPE,3062.02,4.67,,8.86,18.1,131.7
TVSSRICHAK,3051.64,5.99,,5.09,19.9,276.4
63MOONS,3043.49,-1.52,,-63.59,519.5,104.3
DREDGECORP,3035.2,0.39,,22.9,3.4,543.8
WONDERLA,3033.19,4.64,,9.05,40.4,48.8
EASEMYTRIP,3033.14,-6.11,,0.23,19.0,
UFLEX,3014.11,4.08,,9.52,3.2,16.3
SUNCLAY,3012.17,22.27,,-2.17,-10.5,184.3
INTERARCH,3006.52,16.48,,9.68,8.7,-5.2
JINDWORLD,2994.77,8.46,,5.94,5.7,18.2
BALMLAWRIE,2991.88,13.28,,11.5,22.3,12.8
CARRARO,2989.82,25.53,,8.6,36.6,75.8
SHAREINDIA,2984.34,12.97,,21.56,59.9,283.1
RSYSTEMS,2979.82,,,13.76,29.9,69.6
UNIPARTS,2975.32,18.01,,20.36,34.1,123.5
HERITGFOOD,2969.47,14.44,,2.67,10.4,-36.7
WINDMACHIN,2963.21,0.1,,3.02,54.8,
PARAGMILK,2953.97,11.84,,6.42,3.0,19.9
MAITHANALL,2953.37,,,10.13,-7.7,-2.1
JTLIND,2947.72,7.52,,7.56,47.4,151.6
ANTELOPUS,2941.51,14.7,,47.98,65.3,158.9
JASH,2934.84,15.71,,21.92,-3.3,58.1
SOLARA,2931.61,-0.63,,9.26,43.6,
VENUSPIPES,2929.88,16.99,,14.27,16.2,6.6
NIITMTS,2928.22,18.0,,12.77,22.2,58.8
GKENERGY,2911.24,37.26,,17.35,35.2,14.1
GATEWAY,2902.43,10.38,,14.83,-0.2,
DCAL,2894.84,1.56,,8.71,18.9,-49.5
KITEX,2893.15,-1.08,,-11.18,-44.6,
STEELCAS,2889.26,,,24.87,-4.3,7.0
RPSGVENT,2886.46,0.04,,8.12,15.2,
ELPROINTL,2860.98,,,,,
NSIL,2852.11,0.35,,36.2,122.7,
FLAIR,2850.42,13.08,,13.63,8.4,16.0
JUBLCPL,2849.58,32.56,,5.71,21.8,23.3
XPROINDIA,2833.11,2.78,,8.16,-15.1,89.7
TATVA,2826.7,5.53,,13.7,24.4,907.5
FUSION,2826.15,,,6.35,,
JNKINDIA,2820.36,12.09,,12.76,76.9,146.4
POLYPLEX,2820.14,0.62,,-0.33,7.5,145.6
ZAGGLE,2813.03,10.45,,32.03,49.9,21.9
